Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.30     0.00   969147     0.00     0.00  void std::allocator_traits<std::allocator<scene::physics::Nudge_Command> >::construct<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(std::allocator<scene::physics::Nudge_Command>&, scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&)
  0.00      2.30     0.00   969147     0.00     0.00  std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::back()
  0.00      2.30     0.00   969147     0.00     0.00  std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::push_back(scene::physics::Nudge_Command&&)
  0.00      2.30     0.00   969147     0.00     0.00  std::remove_reference<scene::physics::Nudge_Command&>::type&& std::move<scene::physics::Nudge_Command&>(scene::physics::Nudge_Command&)
  0.00      2.30     0.00   969093     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*&, std::_Rb_tree_node_base*&)
  0.00      2.30     0.00   969093     0.00     0.00  std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*& std::forward<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*&>::type&)
  0.00      2.30     0.00   969093     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      2.30     0.00   969092     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      2.30     0.00   969065     0.00     0.00  bool __gnu_cxx::operator==<scene::physics::Nudge_Command*, scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > > const&, __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > > const&)
  0.00      2.30     0.00   969063     0.00     0.00  scene::physics::Physics_Object_List::nudge(double, scene::physics::Dir_3d, scene::physics::Physics_Object&)
  0.00      2.30     0.00   969063     0.00     0.00  __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::operator++()
  0.00      2.30     0.00   968961     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::deallocate(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, unsigned long)
  0.00      2.30     0.00   968961     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::allocate(unsigned long, void const*)
  0.00      2.30     0.00   968961     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::destroy<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, std::pair<scene::physics::Position const, scene::physics::Physics_Object>*)
  0.00      2.30     0.00   968961     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, unsigned long)
  0.00      2.30     0.00   968961     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::construct<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, std::pair<scene::physics::Position const, scene::physics::Physics_Object>*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&)
  0.00      2.30     0.00   968961     0.00     0.00  std::pair<scene::physics::Position, scene::physics::Physics_Object>::pair<scene::physics::Position, scene::physics::Physics_Object, true>(scene::physics::Position&&, scene::physics::Physics_Object&&)
  0.00      2.30     0.00   968961     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_get_node()
  0.00      2.30     0.00   968961     0.00     0.00  void std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_construct_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&)
  0.00      2.30     0.00   968961     0.00     0.00  void std::destroy_at<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >(std::pair<scene::physics::Position const, scene::physics::Physics_Object>*)
  0.00      2.30     0.00   968961     0.00     0.00  decltype (::new ((void*)(0)) std::pair<scene::physics::Position const, scene::physics::Physics_Object>((declval<std::pair<scene::physics::Position, scene::physics::Physics_Object> >)())) std::construct_at<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position const, scene::physics::Physics_Object>*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&)
  0.00      2.30     0.00    31159     0.00     0.00  std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::operator++()
  0.00      2.30     0.00      264     0.00     0.00  std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::key() const
  0.00      2.30     0.00      264     0.00     0.00  std::_Node_handle_common<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::empty() const
  0.00      2.30     0.00      264     0.00     0.00  std::remove_reference<std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&>::type&& std::move<std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&>(std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&)
  0.00      2.30     0.00      203     0.00     0.00  scene::physics::apply_resistance(double, scene::physics::Collide_Resistance, double&)
  0.00      2.30     0.00      185     0.00     0.00  scene::physics::pos_in_bounds(scene::physics::Position)
  0.00      2.30     0.00      185     0.00     0.06  scene::physics::Physics_Object_List::move(unsigned long, scene::physics::Position, scene::physics::Position)
  0.00      2.30     0.00      174     0.00     0.00  scene::physics::Nudge_Command* std::__niter_base<scene::physics::Nudge_Command*>(scene::physics::Nudge_Command*)
  0.00      2.30     0.00      151     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00      2.30     0.00      150     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.00      2.30     0.00      150     0.00     0.00  __gnu_cxx::new_allocator<char>::_M_max_size() const
  0.00      2.30     0.00      150     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00      2.30     0.00      150     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00      2.30     0.00      150     0.00     0.00  std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long)
  0.00      2.30     0.00      150     0.00     0.00  std::allocator_traits<std::allocator<char> >::max_size(std::allocator<char> const&)
  0.00      2.30     0.00      132     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::new_allocator(__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > const&)
  0.00      2.30     0.00      132     0.00     0.00  std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::_M_key() const
  0.00      2.30     0.00      132     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_const_cast() const
  0.00      2.30     0.00      132     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::allocator(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > const&)
  0.00      2.30     0.00      132     0.00     0.08  std::remove_reference<scene::physics::Position>::type* std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::_S_pointer_to<scene::physics::Position>(scene::physics::Position&)
  0.00      2.30     0.00      132     0.00     0.00  std::remove_reference<scene::physics::Physics_Object>::type* std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::_S_pointer_to<scene::physics::Physics_Object>(scene::physics::Physics_Object&)
  0.00      2.30     0.00      132     0.00     0.08  std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::_Node_handle(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > const&)
  0.00      2.30     0.00      132     0.00     0.00  std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::~_Node_handle()
  0.00      2.30     0.00      132     0.00     0.00  std::pointer_traits<scene::physics::Physics_Object*>::pointer_to(scene::physics::Physics_Object&)
  0.00      2.30     0.00      132     0.00     0.08  std::pointer_traits<scene::physics::Position*>::pointer_to(scene::physics::Position&)
  0.00      2.30     0.00      132     0.00     0.00  std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_Rb_tree_iterator()
  0.00      2.30     0.00      132     0.00     0.00  std::_Node_handle_common<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::_Optional_alloc::_Optional_alloc(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > const&)
  0.00      2.30     0.00      132     0.00     0.00  std::_Node_handle_common<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::_Optional_alloc::~_Optional_alloc()
